time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.34,0.0001589274,-0.005585539,0.003457592,-0.04620916,-0.01950675,-0.02359273,0.3614912,0.02602294,-0.1766393,357.1875,343.8487,0.4507353,0.18777,0.4847056,-0.6499761,1.459914,1.910437,1.337482,0.1534893,-0.1215285,-0.04207106,308.4407,296.6916,31.71006,0.06868058,0.5003208,-0.4795541,1.665326,0.3021622,0.5252627,0.4180134,-0.1234966,0.07877614,324.9065,351.6763,351.3977,
12.961,0.0005531457,-0.004585984,0.001787039,-0.04399618,-0.03214914,-0.01061664,0.3615193,0.02600828,-0.1766601,357.1973,343.9149,0.4240101,0.2251983,0.4490598,-0.6696478,1.45628,2.308034,1.228219,0.1565001,-0.1174984,-0.04916045,306.0367,294.0039,33.80753,0.09634186,0.4621913,-0.4669547,1.633332,0.07967066,0.7515392,0.4197312,-0.1192902,0.07352488,323.3899,352.4304,350.9996,
26.33,0.000660117,-0.001829318,0.001032666,-0.0230183,-0.03792441,0.01021202,0.3615439,0.02608171,-0.1766651,357.1451,343.9457,0.4052111,0.2467559,0.406372,-0.6471437,1.303357,2.281738,1.239311,0.1590292,-0.1139757,-0.0554123,304.0943,292.2552,35.64867,0.1286698,0.4282234,-0.4485093,1.545141,-0.2811872,1.029349,0.4209176,-0.1154115,0.06851202,321.9302,353.9396,350.5894,
40.28,-0.0004207588,0.002196206,0.00119169,0.0122412,-0.03740727,0.03216697,0.3615102,0.02621385,-0.1766498,357.0457,343.9711,0.3906451,0.2369816,0.3554896,-0.5902827,1.058895,1.828888,1.312787,0.1606799,-0.1107937,-0.06080574,303.0109,291.559,37.19663,0.1303798,0.3800977,-0.4125202,1.245021,-0.4061967,0.9717211,0.4218215,-0.1119779,0.06428304,321.2617,354.818,350.4232,
54.221,-0.00119111,0.004939648,0.001501588,0.0511947,-0.02338253,0.03983655,0.3614744,0.02634659,-0.1766264,356.9406,343.9644,0.4229904,0.1929848,0.3027273,-0.523441,0.903778,1.110081,1.295023,0.1617206,-0.1082427,-0.06605347,303.0045,291.2281,38.68914,0.1118355,0.3394459,-0.3932932,1.105687,-0.3061464,0.7528054,0.4228772,-0.1088654,0.05917691,320.6071,354.8796,350.4369,
68.051,-0.002274846,0.005977198,0.001743813,0.07195151,-0.01396597,0.03084304,0.3614154,0.02645379,-0.1765969,356.8714,343.9496,0.4684887,0.1507554,0.2637356,-0.4876581,0.9575553,0.6360171,1.172546,0.1632935,-0.1055698,-0.07156273,303.2823,290.109,40.63512,0.1015078,0.3206504,-0.4048477,1.255822,-0.04953477,0.6741315,0.424016,-0.1052257,0.05413833,319.3324,354.7798,350.0275,
82.1,-0.003086504,0.006583157,0.002060845,0.08359586,0.0005405513,0.01787676,0.3613667,0.02656817,-0.1765504,356.8197,343.9232,0.5138893,0.1270216,0.2212774,-0.4976113,1.332059,0.6947514,1.064578,0.1649719,-0.1037359,-0.07774536,303.0263,286.9342,44.12925,0.1063198,0.3081575,-0.4166423,1.411135,0.1986581,0.7439706,0.4257437,-0.1028518,0.04897891,317.8113,355.0176,349.1136,
95.924,-0.003843967,0.007302456,0.002354491,0.08427496,0.009578456,0.01231664,0.3613052,0.02669412,-0.1765006,356.7594,343.8943,0.5389158,0.1491264,0.1952602,-0.5217594,1.521333,1.156852,0.9370251,0.1681687,-0.1028428,-0.08328138,301.8194,283.1173,47.70479,0.1261592,0.2857473,-0.4064428,1.27922,0.1872309,0.9166889,0.4272911,-0.09964311,0.04483949,316.7707,356.0564,348.0742,
110.179,-0.004890648,0.007423306,0.003310756,0.08711749,0.01906599,0.02087266,0.3612337,0.02678794,-0.1764328,356.6854,343.8734,0.5422626,0.2055939,0.1653174,-0.4986766,1.243859,1.691376,0.8219681,0.1707698,-0.1017111,-0.08714816,299.666,280.6709,49.84012,0.1456067,0.2718453,-0.4002674,1.178548,0.06583689,1.116233,0.4285266,-0.09746169,0.03923591,315.749,357.5437,347.0464,
123.691,-0.005879926,0.008490944,0.004784368,0.09148131,0.03109225,0.03271848,0.3611507,0.02692074,-0.1763327,356.5775,343.83,0.5455024,0.2224668,0.1357507,-0.440494,0.918027,1.759073,0.70213,0.1727942,-0.101773,-0.09046003,298.1561,279.4012,51.04776,0.1324861,0.2592464,-0.3975609,1.188448,-0.003198318,1.044689,0.4290332,-0.09414758,0.03451557,314.6584,358.2739,346.528,
137.706,-0.007119266,0.01009756,0.006574975,0.107644,0.04477344,0.04194921,0.3610269,0.02710381,-0.1761897,356.4412,343.7596,0.5639625,0.1921594,0.1030507,-0.3568732,0.6476744,1.386295,0.6619849,0.1732964,-0.1010259,-0.09205673,297.6282,279.0239,51.77875,0.1046906,0.2422288,-0.4154826,1.56832,0.2271936,0.7636375,0.4300646,-0.09346093,0.02965146,312.8588,357.8833,346.0598,
151.608,-0.008050859,0.01045522,0.007972159,0.1123013,0.05825724,0.04731815,0.3608875,0.02726889,-0.176033,356.3408,343.7066,0.5703609,0.1117097,0.06837427,-0.2332044,0.3500336,0.5191097,0.5319609,0.1728693,-0.1008306,-0.09211616,298.5115,280.2776,51.03826,0.07303929,0.2120635,-0.40508,1.726728,0.4536368,0.456507,0.4304612,-0.09233965,0.026449,311.3884,357.1096,345.6537,
165.463,-0.008213362,0.008767754,0.008265264,0.0958446,0.06523726,0.04849625,0.3607651,0.0273535,-0.1759062,356.3018,343.6426,0.5539559,0.05059385,0.03946963,-0.1457476,0.2565701,-0.05190617,0.3731022,0.1727245,-0.1008,-0.09221204,299.4917,280.9415,50.6573,0.03413512,0.1678649,-0.35378,1.631789,0.6486187,0.04543702,0.4304935,-0.09186834,0.02474997,310.5729,355.7417,345.5911,
179.428,-0.007476274,0.005368832,0.006904356,0.05528247,0.06023978,0.03491951,0.360671,0.0273377,-0.1758571,356.3435,343.6172,0.539947,0.01200661,0.002128904,-0.06903327,0.1842429,-0.2877589,0.4302659,0.1726363,-0.1017919,-0.09156804,300.0552,281.4388,50.76976,0.01240816,0.1238207,-0.2832255,1.360333,0.5892699,-0.08826176,0.4305097,-0.091801,0.02374213,310.1411,355.0588,345.6067,
193.411,-0.00578934,0.002152428,0.004769108,0.02032565,0.05170342,0.0112549,0.3606285,0.02727839,-0.1758571,356.3879,343.5934,0.5412204,0.01526549,-0.03966973,0.008290003,-0.07907382,-0.05795434,0.5465797,0.1726343,-0.1043763,-0.08915418,299.4454,282.23,50.62241,0.01533663,0.06779166,-0.1682544,0.7957921,0.2696379,0.2101795,0.4302658,-0.09237495,0.02510452,310.2353,356.1307,345.2523,
207.146,-0.004013063,-0.0004482018,0.002078837,-0.005848797,0.0389685,-0.009908433,0.3606273,0.02720419,-0.1759033,356.4518,343.5742,0.5592954,0.0201329,-0.07026576,0.08291689,-0.3953944,0.07629783,0.4282016,0.1722718,-0.1062683,-0.0861311,298.8779,283.7712,49.26574,0.02430359,0.02800088,-0.08997419,0.4806422,0.03076503,0.508382,0.4300904,-0.09341692,0.0257621,310.1076,357.5133,344.748,
221.015,-0.002054402,-0.001232547,-0.0004672506,-0.01999389,0.03661529,-0.02304356,0.3606613,0.02716917,-0.1759779,356.4846,343.5482,0.5679637,0.00204261,-0.1093226,0.1734554,-0.5996249,0.04584315,0.06796423,0.1711315,-0.1088013,-0.08155538,298.7961,285.4416,47.14814,0.01522416,-0.02271735,-0.0184328,0.3558187,-0.09184966,0.5798064,0.4292625,-0.09603609,0.02754561,309.8676,358.3646,344.4825,
235,-0.0005814427,-0.001813443,-0.002062097,-0.009832453,0.02856166,-0.0165197,0.3607,0.02712598,-0.1760497,356.4611,343.5415,0.5706071,-0.04075673,-0.1531814,0.2558924,-0.5712575,-0.1374205,-0.4534568,0.1695101,-0.1120275,-0.07626107,299.4353,286.412,45.11768,-0.03119658,-0.0857526,0.05574816,0.2300739,-0.04909002,0.1204851,0.4278521,-0.09915949,0.03063067,310.0991,357.3126,345.1641,
248.804,0.0006634567,-0.0002560838,-0.003578837,-0.006825482,0.01740287,-0.01054602,0.360747,0.02715313,-0.1761432,356.4559,343.547,0.5692456,-0.09619725,-0.2014984,0.3276232,-0.4276664,-0.4319361,-0.9267853,0.1674547,-0.1157922,-0.07019133,300.6833,286.9552,43.34402,-0.100357,-0.1601849,0.1330763,0.08402235,0.09931864,-0.626276,0.4258662,-0.1033134,0.03456536,310.8967,354.7687,346.5465,
262.851,0.001615217,0.0001761911,-0.003761571,0.01560683,0.005841079,0.004745374,0.3608,0.02715519,-0.1761997,356.4111,343.5524,0.5734234,-0.150809,-0.2625379,0.4129848,-0.4765114,-0.8366323,-1.161016,0.1647784,-0.1206541,-0.06335323,302.2998,288.4911,41.13117,-0.1561911,-0.242669,0.2133484,-0.09175427,0.1565891,-1.141802,0.424071,-0.1082206,0.03972115,311.955,352.3627,347.9812,
276.864,0.002460806,0.001910601,-0.004279049,0.02131122,-0.00149711,0.01595338,0.3608584,0.02724591,-0.1762685,356.3616,343.5805,0.5557703,-0.1730968,-0.3209324,0.4699727,-0.5878266,-1.020051,-1.036574,0.1628268,-0.1266876,-0.05641371,303.4336,290.1344,39.46919,-0.1372663,-0.2988535,0.284613,-0.4084964,-0.02102982,-0.763947,0.4233806,-0.1130322,0.04541292,312.7367,352.7167,348.1317,
290.803,0.00317349,0.00203002,-0.004217276,0.03063506,-0.003309979,0.02896591,0.3609213,0.02729386,-0.1763197,356.3024,343.5779,0.5370029,-0.1663151,-0.3796678,0.5402848,-1.151994,-1.277934,-0.6342634,0.1606119,-0.1329642,-0.04929827,304.3703,294.0198,36.6436,-0.06722549,-0.339996,0.356448,-0.8253074,-0.2382075,0.167233,0.4226025,-0.1188389,0.0513416,313.4064,355.6317,346.8563,
304.609,0.003600377,0.001896846,-0.004301592,0.02376183,-0.007289079,0.02997991,0.3609756,0.02732381,-0.1763861,356.2887,343.5946,0.5258415,-0.1587423,-0.4383078,0.5939409,-1.581258,-1.678605,-0.187152,0.1580908,-0.1396555,-0.0422206,305.6754,298.3452,34.02727,-0.04651739,-0.3964425,0.4263547,-1.260798,-0.3419611,0.3805933,0.4209814,-0.1254004,0.05789628,314.861,357.2449,346.3931,
