time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.311,0.003568685,0.9764616,-0.03667971,1.302293,-0.130664,-0.2259803,0.2070524,0.1626246,0.3648836,352.225,358.6985,1.016065,0.2479778,-0.9481075,0.185624,-4.597172,-4.251276,-2.361856,0.02054674,-0.2797606,0.5309615,8.329583,348.5993,12.74792,-0.13442,1.561875,-0.04646231,2.281198,0.4033193,-1.658289,0.3630503,-0.2479114,0.5640823,9.594823,347.1392,336.9224,
13.161,0.01624583,0.8538742,-0.06977395,1.587006,-0.1084288,-0.1414646,0.2076418,0.1695137,0.3633034,350.5704,358.7644,1.003921,0.06791321,-1.027599,0.04077681,-4.954297,-1.809747,-1.909225,0.01864852,-0.2915797,0.5267038,11.91498,345.2211,10.58738,-0.1139505,1.468135,-0.112866,2.721036,0.06817177,-1.321041,0.3634269,-0.2331523,0.5604158,7.187248,346.825,338.6023,
26.533,0.02787626,0.6774446,-0.08554336,1.692366,-0.07528701,0.07737988,0.2081004,0.1730715,0.3627553,349.2154,358.8959,0.5442351,-0.09087221,-1.051349,-0.1251229,-4.307362,0.1265683,-1.696496,0.01723517,-0.3047142,0.5208476,13.7577,341.2983,9.861388,-0.05599089,1.367826,-0.1629583,2.98501,-0.5838112,-1.052848,0.3638961,-0.2206118,0.5565181,4.337746,347.4624,340.0825,
40.478,0.03377081,0.4735867,-0.08962345,1.595192,-0.05336311,0.2948882,0.2085247,0.1726433,0.3611811,348.1983,359.101,359.9932,-0.1029507,-1.115836,-0.2369097,-3.343313,0.4017171,-2.456829,0.01631318,-0.3203013,0.5166572,16.42822,340.8992,11.90644,0.003318928,1.21079,-0.1971534,2.856738,-1.077285,-0.8726273,0.3647116,-0.2113679,0.5531278,2.06044,348.4498,341.2488,
54.442,0.0359535,0.249577,-0.106564,1.250348,-0.0741806,0.3754099,0.2088578,0.1681524,0.3590466,347.9656,359.362,359.6802,0.03958286,-1.197639,-0.2903052,-2.31303,-0.5237423,-3.835851,0.01908274,-0.3363259,0.5119869,19.89129,344.7878,16.06004,0.06444763,1.020461,-0.2157722,2.448571,-1.596731,-0.7270887,0.3655787,-0.2045562,0.5496718,0.298211,350.0813,342.0107,
68.188,0.03707632,0.001498206,-0.1378,0.2074297,-0.1386696,0.2468346,0.2094424,0.1634807,0.355554,350.0469,359.5122,359.8538,0.2924004,-1.258696,-0.3256941,-1.286541,-2.016945,-5.557729,0.02254787,-0.3542226,0.5081614,23.00859,353.1344,22.08194,0.1064222,0.8297171,-0.2343102,1.936158,-2.021906,-0.5749832,0.3656772,-0.1996008,0.5455815,358.9492,352.0644,342.4331,
82.247,0.03672422,-0.1749623,-0.162902,-0.6029619,-0.1823033,0.105308,0.2099118,0.1576688,0.3525498,351.7185,359.6609,0.002993107,0.4249733,-1.298894,-0.3844644,-0.9364854,-2.620242,-6.012633,0.02349234,-0.3724578,0.503952,25.12081,0.0235892,26.45381,0.1016172,0.6623176,-0.2783825,1.656161,-2.051159,-0.2858903,0.3655379,-0.1957286,0.5387704,357.6337,353.4157,342.5618,
96.161,0.03341204,-0.3477141,-0.1684272,-0.8588901,-0.2357226,-0.02043863,0.2102044,0.148877,0.3509993,352.2249,359.8595,0.2474038,0.2089325,-1.274199,-0.4012932,-0.7028282,-1.540535,-2.361834,0.02158355,-0.3888554,0.496359,24.05367,356.5813,22.69996,0.07450849,0.5300502,-0.3462495,1.735331,-1.853233,0.2396067,0.3648434,-0.1942264,0.5334018,355.5922,353.9983,342.0378,
110.165,0.0281477,-0.4912637,-0.1608458,-0.6349025,-0.245701,-0.06245552,0.210407,0.1383329,0.3494323,352.0557,0.0129289,0.3273676,-0.03230356,-1.275021,-0.4247865,-1.140826,-0.3247698,0.618714,0.02064458,-0.4069963,0.4891677,23.04541,350.7828,17.63112,0.06671898,0.4245432,-0.4064721,1.9358,-2.021916,0.4267358,0.3647746,-0.1934187,0.526053,353.1655,355.2217,342.0792,
124.037,0.02285593,-0.614924,-0.1543579,-0.3423299,-0.1925133,-0.02432956,0.2106004,0.12683,0.3474911,351.817,0.05853756,0.2251043,-0.1031788,-1.39154,-0.4373403,-1.790647,0.116502,0.3921165,0.01983685,-0.428728,0.4843661,24.89222,348.772,16.95608,0.09922057,0.3113866,-0.4577838,1.948546,-2.479135,0.7819978,0.3652182,-0.1949668,0.5194484,350.6225,357.4788,341.5471,
137.824,0.01610176,-0.719811,-0.1441847,-0.1688092,-0.1306157,0.05770245,0.2105532,0.1144271,0.3464948,351.7675,0.1279816,0.01287243,-0.01784463,-1.528233,-0.416348,-1.928083,0.04967408,-1.790832,0.01978192,-0.4506322,0.4823572,28.67071,351.5422,21.09945,0.127938,0.173231,-0.4850652,1.59207,-2.645016,1.174897,0.3650048,-0.1979475,0.5123972,349.0126,359.9225,340.3951,
151.62,0.01061269,-0.8027584,-0.1206007,-0.2571142,-0.06322622,0.1097674,0.2106178,0.1023418,0.3451454,352.3445,0.1070821,359.8639,0.08247027,-1.564913,-0.3828665,-1.6407,0.1078341,-3.45426,0.01916886,-0.4702419,0.4788309,31.37536,356.003,26.58862,0.1094147,0.04418775,-0.5124856,1.398724,-2.233382,1.515308,0.364666,-0.2019169,0.504647,347.7179,1.227065,338.877,
165.703,0.007842932,-0.8609147,-0.110923,-0.2700318,-0.03005629,0.1030444,0.2107736,0.08906154,0.3436683,352.4981,0.1103805,359.8422,0.05729218,-1.493075,-0.3384313,-1.260627,0.5878513,-3.288874,0.01646701,-0.4867269,0.4760878,32.02867,357.4905,29.80265,0.07397911,-0.06018948,-0.5524013,1.519006,-1.525837,1.923062,0.364183,-0.207161,0.4964585,346.1385,1.592899,336.7276,
179.572,0.01023066,-0.9117873,-0.09501533,-0.1597428,-0.01088257,0.0571882,0.2112679,0.07531817,0.3433361,352.3248,0.08285139,359.8997,-0.09472917,-1.350004,-0.2781506,-1.044035,1.393339,-1.764834,0.01240135,-0.5002877,0.4738048,31.17889,354.6053,29.9181,0.02228859,-0.145676,-0.5841371,1.844392,-0.6798608,1.946696,0.3641742,-0.2131749,0.4888287,344.3387,0.6870487,335.0117,
193.431,0.01903853,-0.9496032,-0.07281177,-0.02390035,-0.004305007,0.01718122,0.2120088,0.06165199,0.3427751,352.1484,0.07436199,359.9391,-0.2393143,-1.210515,-0.2151648,-1.386935,2.036379,-0.5881991,0.008888665,-0.5119354,0.4733309,30.95706,350.5162,29.43609,0.05188012,-0.1968984,-0.5945882,1.839519,-1.284581,1.567246,0.3647282,-0.2186038,0.4821333,342.1755,2.115906,334.8694,
