time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.399,0.001367839,0.00131897,-0.005474837,0.02118899,0.001521745,-0.003363532,0.1546775,-0.156523,-0.7327782,359.6923,5.048763,0.1008115,-0.009921383,0.003922875,0.003401665,0.01454679,0.06379275,0.01816321,0.1637377,-0.5931553,-0.3969818,15.72074,16.6388,19.94954,-0.03583098,0.006029428,-0.007731542,0.09765025,0.2097387,0.1828099,0.2904856,-0.5944306,-0.4216599,23.60304,5.166038,355.3747,
13.201,0.0006865594,0.001930082,-0.004668811,0.03126747,0.007025075,-0.0006012077,0.1546633,-0.1564801,-0.7328237,359.6512,5.037332,0.09575211,-0.00630235,0.002115398,0.002621889,0.006993866,0.03165481,0.003825727,0.1637029,-0.5931317,-0.3969731,15.71607,16.62568,19.94854,-0.03981994,0.0155503,-0.006566048,0.1466561,0.231692,0.1689635,0.2901088,-0.594093,-0.4218451,23.42941,4.878756,355.3287,
26.602,-3.118301E-06,0.00297939,-0.004058198,0.03682944,0.01031143,0.0007092835,0.154645,-0.1564166,-0.7328662,359.6176,5.01945,0.08478892,-0.001975966,0.000191774,0.001997958,-0.002104314,0.0002166354,-0.0235353,0.1636613,-0.5931063,-0.3969615,15.71109,16.63564,19.96327,-0.03436983,0.01961655,-0.003480034,0.1421489,0.1977653,0.06020159,0.2899194,-0.5940485,-0.421784,23.29589,4.887454,355.484,
40.266,-0.0006167658,0.00402152,-0.003405726,0.04048477,0.01674334,-0.003076401,0.1546181,-0.156338,-0.7328969,359.573,5.002949,0.09581362,-0.001591971,-0.001807038,0.002326894,-0.002604428,0.00169348,-0.01085125,0.1636341,-0.5931041,-0.3969452,15.7075,16.63995,19.9742,-0.02266529,0.01598745,-5.181413E-05,0.09686011,0.1227781,-0.06662899,0.2899824,-0.5941578,-0.4216264,23.28363,5.147898,355.6883,
54.272,-0.001196108,0.004532491,-0.002620833,0.04506196,0.01995205,-0.008084913,0.1545802,-0.1562638,-0.7329112,359.5335,4.977403,0.1008742,-0.004176118,-0.001809932,0.002642806,0.03894081,0.02735859,0.05065573,0.1635878,-0.5931359,-0.39696,15.68625,16.59493,19.92221,-0.008407914,0.01082455,0.001983709,0.07014728,0.03852291,-0.2158499,0.2898611,-0.5943279,-0.4217896,23.16925,5.498847,356.0356,
68.202,-0.00179918,0.004581546,-0.001904743,0.04548683,0.01670971,-0.01246755,0.1545343,-0.1561987,-0.7329191,359.5065,4.966317,0.1141509,-0.00457743,-0.001506536,0.00270715,0.05354274,0.04417409,0.07068201,0.1636054,-0.5931724,-0.3968874,15.65666,16.51842,19.83727,-0.001967527,-0.006222898,0.002684629,-0.08072314,0.03193331,-0.2759039,0.2895566,-0.5948892,-0.4211859,23.37125,5.844691,356.4856,
82.194,-0.00186664,0.00469807,-0.001579034,0.03884887,0.01659701,-0.01360225,0.1545228,-0.1561313,-0.7329255,359.481,4.960762,0.1224943,-0.0009760869,-0.003402544,0.003274849,0.01322479,0.01019469,0.05459802,0.1636002,-0.5931625,-0.3969199,15.66968,16.50223,19.81399,-0.004054705,-0.02717705,0.003387577,-0.2501367,0.09180795,-0.2793613,0.2893066,-0.5953617,-0.4214901,23.80572,5.995992,356.9021,
95.988,-0.002041304,0.004312929,-0.001138036,0.02925125,0.01324872,-0.01319735,0.1545078,-0.1560863,-0.7329186,359.4691,4.959777,0.1254164,0.0004939759,-0.001535787,0.002169308,0.02217458,0.01531319,0.03429331,0.1636296,-0.59315,-0.3969344,15.66332,16.482,19.78962,-0.01309432,-0.03926321,0.003196958,-0.3413504,0.202899,-0.2897245,0.2886905,-0.5960454,-0.4207469,24.1798,6.015348,357.3973,
110.206,-0.002291827,0.00330185,-0.0002663971,0.022516,0.005648247,-0.01539909,0.1544741,-0.1560659,-0.7328907,359.459,4.975167,0.1462707,0.002210018,-0.002055033,0.002275627,-0.0001030486,-0.01234042,0.0167338,0.1636678,-0.5931287,-0.3969061,15.67374,16.48004,19.77467,-0.03131765,-0.04683311,0.004299802,-0.4585454,0.3990609,-0.2829771,0.2879683,-0.5961678,-0.4209873,24.71048,5.82183,358.0456,
123.879,-0.002568776,0.002776608,0.0003056702,0.01575389,0.002309534,-0.01757756,0.1544247,-0.1560283,-0.7328678,359.4683,4.972789,0.1591954,0.003160498,-0.002629669,0.002401772,-0.01969512,-0.01596808,-0.008677952,0.1637005,-0.5931245,-0.3968873,15.67955,16.48693,19.78013,-0.03903343,-0.02925562,-0.002518786,-0.1745082,0.3829791,-0.05930553,0.2881061,-0.5963205,-0.4212415,24.43366,5.26332,357.7401,
