time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.401,0.00125197,0.001321321,0.01471155,0.02581565,-0.0322546,0.007206772,-0.1034603,0.04357159,0.14547,352.8092,1.004021,359.678,-0.00675888,-0.02250488,-0.03496751,0.01232189,0.04102218,0.1455866,-0.3141806,-0.6912103,0.1915529,61.91293,307.7104,283.4327,0.004265369,0.004247515,0.007945273,0.1330562,0.1307784,-0.03597096,-3.068353,1.476812,0.6063396,74.87259,34.62833,352.9734,
12.831,-0.0002119993,0.001317772,0.01492765,0.01608636,-0.02684995,-0.005968489,-0.1034982,0.04358542,0.145674,352.8081,1.003788,359.7108,-0.001407271,-0.02040213,-0.03405292,0.0151846,0.05494251,0.120063,-0.3140595,-0.6913914,0.1912279,61.96422,307.669,283.4427,0.004609887,0.005232336,0.01170272,0.2109693,0.1999775,0.06031326,-3.06835,1.476825,0.6063836,74.61028,34.3627,353.1997,
26.56,-0.001263315,0.001326687,0.01511477,0.01281701,-0.01441151,-0.01324719,-0.1035419,0.0436002,0.1458819,352.8043,0.989015,359.7279,0.005006372,-0.01892224,-0.03327362,-0.005846186,0.06628457,0.07278851,-0.3138862,-0.6915226,0.1909195,62.02289,307.6767,283.4243,0.003123141,0.003809208,0.009313216,0.1756653,0.1742598,0.1167834,-3.068342,1.476834,0.606446,74.64205,34.1177,353.1625,
40.485,-0.002417794,0.001282107,0.01541078,0.01162574,-0.004074829,-0.02443632,-0.1036088,0.04363519,0.1460991,352.787,0.9613194,359.7633,0.009501548,-0.01811758,-0.03251064,-0.01774815,0.06982549,0.04501586,-0.3137203,-0.6917021,0.1905844,62.0812,307.6586,283.3959,0.004650269,0.00394163,0.0044524,0.08065431,0.1899655,0.1302978,-3.068336,1.476848,0.606513,74.68549,34.43404,353.5818,
54.291,-0.003444668,0.0007959306,0.01552433,0.008289373,0.008336125,-0.03610057,-0.1036868,0.04365987,0.146312,352.7868,0.9264138,359.8072,0.01288989,-0.01941419,-0.03039388,-0.03363531,0.07531928,0.03386787,-0.3135363,-0.691983,0.1903152,62.15905,307.602,283.3301,0.007796033,0.005120593,-0.000785604,-0.03052448,0.2246169,0.09986161,-3.068339,1.476882,0.6065772,74.6888,35.15138,354.3556,
68.352,-0.00450711,-0.0001871733,0.01540186,0.004014838,0.01871525,-0.03850517,-0.1037712,0.04364398,0.1465131,352.7972,0.8792752,359.8353,0.01382138,-0.01950736,-0.02663925,-0.02642748,0.05905641,0.01971029,-0.3134205,-0.6921126,0.1900937,62.17509,307.6194,283.3391,0.01002819,0.006177144,-0.003566718,-0.09327952,0.2502774,0.06895443,-3.068351,1.476922,0.6066118,74.64615,36.06108,355.3087,
81.943,-0.005190434,-0.001262038,0.01496541,-0.003438585,0.03428421,-0.03772803,-0.1038392,0.04359761,0.1466906,352.8155,0.8266193,359.8504,0.01378626,-0.01825939,-0.02140164,-0.004408978,0.02944297,-0.00170095,-0.3133747,-0.6924316,0.189956,62.15876,307.6757,283.3886,0.009563658,0.004916356,-0.009144646,-0.1955622,0.2098531,0.07521861,-3.068369,1.476974,0.6066415,74.78458,37.01706,356.2087,
95.73,-0.005658485,-0.001690908,0.01458905,-0.01089017,0.04464411,-0.03573263,-0.1039124,0.04356077,0.1468688,352.8303,0.7725272,359.8713,0.01137222,-0.02039411,-0.01932119,-0.009197725,0.03646426,0.04614329,-0.3132401,-0.6928205,0.1898272,62.19678,307.5412,283.3102,0.009425776,0.00368035,-0.01670427,-0.333464,0.1749432,0.1040864,-3.068389,1.477026,0.6066628,75.07668,38.62647,357.6843,
110.046,-0.006072177,-0.001901501,0.01430156,-0.01406518,0.05113729,-0.0317816,-0.103982,0.04352877,0.1470606,352.838,0.7233801,359.8848,0.01049474,-0.01847372,-0.01514696,0.02047412,0.02213344,0.05249885,-0.3130962,-0.6930017,0.1896232,62.19204,307.515,283.3447,0.0110254,0.004195943,-0.021599,-0.4309012,0.1807136,0.09069321,-3.068414,1.477085,0.6066757,75.25977,40.28207,359.1585,
123.77,-0.006143673,-0.001854386,0.01388342,-0.01938757,0.05214221,-0.03197372,-0.1040483,0.04350662,0.1472428,352.8625,0.6716843,359.9067,0.009452019,-0.01950621,-0.01387944,0.006768175,0.04010518,0.09864283,-0.3128502,-0.6931274,0.189516,62.23865,307.3015,283.2397,0.008838507,0.002344834,-0.02524226,-0.4896032,0.1149706,0.1056679,-3.06844,1.477142,0.6066773,75.56821,41.47449,0.1554781,
