time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.392,0.01132176,-0.002634312,0.0001373817,0.001925053,0.0474453,-0.008654789,0.1547375,0.0181421,0.005662084,358.593,358.6698,0.1865368,0.4940479,0.09760403,0.0410907,0.4060526,-0.8064147,0.2537506,0.01532041,-0.3760806,0.4166983,0.4126783,346.9572,15.98674,-0.6182284,-0.646773,-0.05544211,-1.27356,0.9190431,1.37622,0.2832718,-0.3036988,0.4519312,14.52738,355.0612,349.1788,
13.211,0.01172324,-0.002717417,0.002342361,-0.009460386,0.06031102,0.01694988,0.1549103,0.01810497,0.005754113,358.6245,358.6042,0.1202827,0.4974778,0.08966394,0.02999219,0.4473691,-1.017433,0.2289946,0.02087116,-0.3749952,0.416705,0.3024347,348.2156,15.93921,-0.6088524,-0.6132932,-0.06824766,-1.035313,0.9787948,0.8641524,0.2757431,-0.3105903,0.450893,15.07855,354.3438,349.4861,
26.557,0.01212317,-0.001404661,0.005004004,-0.01001226,0.07712689,0.05487062,0.1550865,0.01812637,0.005897045,358.6316,358.5166,0.004099429,0.4747706,0.09173264,0.01633583,0.4897135,-0.9857301,0.1612112,0.02561027,-0.3737196,0.4164734,0.09582077,349.0611,16.04246,-0.5856157,-0.5787034,-0.07637048,-0.8153333,0.9578263,0.21059,0.2685396,-0.3168319,0.4497355,15.55402,354.181,350.6091,
40.29,0.01293209,0.00129768,0.007694006,0.0001275851,0.09509531,0.09129569,0.155287,0.01822588,0.006081581,358.5954,358.4158,359.8654,0.4261569,0.09107719,0.009211063,0.4692817,-0.7573216,-0.04856509,0.02950691,-0.3725332,0.4167238,0.0152579,349.352,16.52168,-0.5554581,-0.5476485,-0.08223316,-0.7541242,0.862096,-0.01772134,0.2622201,-0.3227286,0.4488331,16.15896,353.9781,351.1112,
54.23,0.01373652,0.004118016,0.01141364,0.020274,0.1000498,0.1224445,0.1554921,0.01836565,0.006364822,358.5315,358.3375,359.7249,0.3716598,0.08652653,0.007262588,0.4431798,-0.5057048,-0.3446541,0.03324858,-0.3716476,0.4162492,0.04069353,349.361,17.35955,-0.5177435,-0.5174671,-0.08518539,-0.8303203,0.6201823,0.1373921,0.2566116,-0.3285068,0.4477261,16.89572,353.7818,350.6259,
68.226,0.01526852,0.004968468,0.01405741,0.03313719,0.1007723,0.136202,0.1558259,0.01848212,0.006737709,358.4881,358.2697,359.6047,0.3340516,0.0787267,0.00627277,0.4290068,-0.3867863,-0.5510895,0.03683699,-0.3709018,0.4167333,0.09880301,349.5155,18.22216,-0.4843588,-0.4916499,-0.08693887,-0.9952191,0.3693309,0.4540606,0.2509327,-0.3339916,0.4472472,17.79737,353.4865,349.4566,
82.061,0.01716617,0.003888329,0.01659258,0.03906704,0.09259197,0.1433166,0.1560962,0.01842293,0.00703001,358.4464,358.232,359.4911,0.3137487,0.07069032,0.004418366,0.399221,-0.3658507,-0.5684027,0.04063809,-0.3701215,0.416434,0.1136174,349.8153,18.76137,-0.4646696,-0.4688643,-0.09102325,-1.067768,0.2674336,0.6001097,0.2453664,-0.3392978,0.4454451,18.63251,353.0937,348.4911,
96.03,0.01879944,0.002462455,0.01887554,0.03187501,0.0806016,0.1389283,0.1564028,0.01841179,0.007325411,358.435,358.1848,359.3914,0.3100318,0.06476652,-0.002442971,0.4196292,-0.4115279,-0.4252089,0.04471548,-0.3697812,0.4156282,359.931,350.3082,18.94589,-0.4501371,-0.4458681,-0.09905563,-1.015814,0.284215,0.471036,0.2394089,-0.3442132,0.4446294,19.36197,352.8262,348.2403,
110.208,0.01998726,0.001633558,0.0209805,0.01978757,0.07590833,0.1295858,0.1567118,0.01842239,0.007666826,358.4364,358.1362,359.3061,0.3105871,0.05356539,-0.006796256,0.3823942,-0.4913809,-0.2495101,0.04833744,-0.3692538,0.416223,359.8427,350.9029,18.88318,-0.4405848,-0.415446,-0.1086906,-0.9051628,0.3374128,0.3901637,0.2339881,-0.3480704,0.4426561,19.91924,352.4483,348.0686,
123.784,0.02151577,0.0009397215,0.02244643,0.01090755,0.07127044,0.1204542,0.1570711,0.01838642,0.007989407,358.4314,358.0959,359.2268,0.2942232,0.0409017,-0.012959,0.3513432,-0.4214067,-0.1312965,0.05153479,-0.3693419,0.4152632,359.6822,351.2019,18.83388,-0.431702,-0.3807446,-0.1219603,-0.8247775,0.2882726,0.5231911,0.2286868,-0.3522987,0.44067,20.31065,351.9315,347.3411,
137.819,0.02265028,3.924826E-05,0.02312725,-0.007878767,0.05296863,0.113158,0.1574163,0.01834664,0.008295774,358.4645,358.0934,359.1384,0.2734562,0.0247816,-0.01457695,0.2834606,-0.348199,-0.162012,0.05443123,-0.3696147,0.4152029,359.6977,351.3805,19.03082,-0.4292176,-0.3526274,-0.1356133,-0.9096764,0.2304001,0.8420252,0.2236094,-0.3555508,0.4391552,20.95548,351.075,345.9309,
151.364,0.02320429,-0.000797071,0.02325658,-0.01701222,0.03557764,0.1044713,0.157728,0.01832852,0.008581519,358.4849,358.1004,359.073,0.2462225,-0.001454945,-0.01245834,0.1391167,-0.2623177,-0.2362977,0.05692336,-0.3701912,0.4153425,359.949,351.3808,19.29174,-0.4257822,-0.3182903,-0.1494087,-0.8970795,0.05145294,1.313832,0.2184872,-0.3596721,0.4369683,21.08815,350.0182,343.7525,
165.22,0.0239328,-0.001023203,0.02285966,-0.01376776,0.02145324,0.1009837,0.1580768,0.01832765,0.008841038,358.4833,358.1091,358.9916,0.2206594,-0.03156423,-0.01271164,-0.02655273,-0.1593948,-0.288189,0.0597854,-0.3711219,0.4149584,0.3022157,351.1937,19.50344,-0.4309954,-0.3073328,-0.1503564,-0.8681735,0.1794104,1.253233,0.2131312,-0.3633542,0.4353084,21.55198,349.1023,342.7335,
179.192,0.02411233,-0.001152108,0.02136067,-0.01879906,0.004728133,0.1054547,0.1584084,0.01824322,0.009071469,358.4975,358.1342,358.8904,0.2186622,-0.04853579,-0.01163701,-0.0860054,-0.2690723,-0.3138125,0.06243416,-0.3717018,0.4147674,0.6837382,351.5131,19.71377,-0.4206234,-0.2995723,-0.1411835,-0.7011976,0.2791392,0.8292395,0.2079338,-0.3668058,0.4339696,21.93452,348.8387,342.8259,
193.104,0.02424543,-0.003326898,0.01927272,-0.0342227,-0.008320875,0.09498174,0.1587474,0.01812661,0.009265661,358.563,358.1647,358.8511,0.2116623,-0.05217265,-0.01756533,-0.0036787,-0.3017412,-0.3744446,0.06481763,-0.3723339,0.4138882,0.7767479,351.8347,20.11879,-0.3977709,-0.2871014,-0.1318183,-0.513334,0.3005161,0.4082516,0.2030681,-0.3697041,0.4324193,22.19648,348.97,343.3555,
207.111,0.02480191,-0.005662448,0.01693008,-0.05262703,-0.007880153,0.07305075,0.1591418,0.01806077,0.009432793,358.6379,358.1611,358.8316,0.2072271,-0.06097669,-0.01836272,0.04484605,-0.3699564,-0.398042,0.06719165,-0.3735929,0.4140268,0.8920439,352.2678,20.49162,-0.371338,-0.2724952,-0.1264328,-0.5653582,0.2465973,0.3439559,0.199125,-0.3726849,0.4308353,22.69069,348.8085,343.0658,
220.937,0.02508577,-0.00527326,0.01556193,-0.05037527,-0.002043434,0.06127089,0.1594689,0.01814497,0.00968051,358.6483,358.1527,358.7891,0.1983301,-0.06927487,-0.0152482,-0.01440797,-0.3306266,-0.2570296,0.06953969,-0.3745578,0.4138906,1.048539,352.4147,20.41016,-0.3535859,-0.256845,-0.1275283,-0.6753399,0.1563553,0.5637951,0.195376,-0.375352,0.4291715,23.13329,348.2424,341.9777,
