time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.347,-0.280803,0.007264482,-0.0009458438,0.2332603,2.567679,-0.6609564,0.287642,0.02936414,-0.08683193,351.7694,356.2155,356.674,-0.116127,0.02315488,0.007336576,0.3289827,1.6557,1.816883,0.1548241,-0.5741133,-0.09361791,45.09244,22.73391,20.67903,-0.3508309,-0.1403762,0.3157313,-0.9090732,2.038795,1.713172,0.4506088,-0.5374283,-0.05198461,41.98784,356.8711,5.045577,
14.804,-0.2771403,0.006044634,-0.01277527,0.2574965,2.550733,-0.6392573,0.2838862,0.02940485,-0.08727288,351.726,354.1205,356.9021,-0.1163477,0.02780817,0.0061123,0.3626515,1.690701,1.795155,0.1537365,-0.5743738,-0.0987587,44.54512,20.49892,20.22604,-0.3641016,-0.1323848,0.298423,-0.9107324,2.097117,1.702224,0.4468157,-0.5388446,-0.04809728,42.25565,354.6311,5.175968,
26.361,-0.2734026,0.005651767,-0.02293237,0.2786437,2.530259,-0.630316,0.2801988,0.02953428,-0.08783317,351.6825,352.0323,357.1522,-0.1182548,0.02928546,0.002364047,0.3267624,1.724065,1.817579,0.1529653,-0.5746477,-0.1032714,44.08241,18.22824,19.831,-0.3760466,-0.1181009,0.2781821,-0.9020242,2.234206,1.654685,0.4426228,-0.539689,-0.04438239,42.43003,352.4926,5.636864,
40.06,-0.2689377,0.006215552,-0.03332687,0.3184263,2.512876,-0.615494,0.2765217,0.02968124,-0.08849716,351.5893,349.9609,357.3867,-0.1220318,0.02639601,-0.004837137,0.1764705,1.817417,1.872822,0.1522277,-0.5750356,-0.1081821,43.75864,15.91358,19.69454,-0.3886398,-0.1018413,0.2588048,-0.8740972,2.290432,1.672729,0.4384762,-0.5406935,-0.0407735,42.46741,350.2048,5.884335,
53.983,-0.2653427,0.006925562,-0.04179709,0.3521186,2.501331,-0.593152,0.2728844,0.02974221,-0.08929515,351.5023,347.892,357.6088,-0.1208084,0.02212321,-0.01184449,0.02652991,1.786632,1.864013,0.151732,-0.5753454,-0.112582,43.57695,13.79861,19.53635,-0.3888184,-0.08876479,0.2468926,-0.8145531,2.23142,1.602092,0.4345822,-0.5416701,-0.03707642,42.44296,348.2489,6.132289,
67.642,-0.2616069,0.005497858,-0.05062962,0.3778734,2.48657,-0.564926,0.269279,0.02967733,-0.09020829,351.4301,345.8485,357.8199,-0.117801,0.02112962,-0.01594916,-0.03686555,1.69867,1.827311,0.1513878,-0.5756021,-0.1161737,43.35122,11.76072,19.20908,-0.3841491,-0.08026018,0.2355838,-0.7501924,2.131588,1.5035,0.4306105,-0.5424095,-0.03423183,42.38697,346.5358,6.40239,
81.808,-0.2581509,0.002467837,-0.0587761,0.3865063,2.479131,-0.5357203,0.2657182,0.02955586,-0.091254,351.3816,343.7971,357.9988,-0.1134434,0.02113042,-0.0189833,-0.06669848,1.555645,1.789617,0.1508588,-0.575969,-0.1208864,43.1459,9.775244,18.69497,-0.390771,-0.06721663,0.2192099,-0.6956231,2.019883,1.56724,0.4263911,-0.5430793,-0.03132086,42.14609,344.4504,6.286734,
95.741,-0.2551176,-0.001236251,-0.06635834,0.3758799,2.478747,-0.5005559,0.2622001,0.02941146,-0.0923897,351.3645,341.7477,358.1284,-0.1108198,0.02188438,-0.02158836,-0.09148724,1.453708,1.767494,0.1505605,-0.5762075,-0.1243746,42.91634,7.77792,18.14948,-0.397467,-0.06257336,0.1967324,-0.7411034,1.956705,1.646942,0.4222712,-0.5445856,-0.02856544,41.95488,342.1328,6.030998,
110.413,-0.2522467,-0.002443026,-0.07326905,0.3538997,2.488898,-0.454415,0.2587249,0.02950642,-0.0936085,351.3553,339.6927,358.1798,-0.1110726,0.02709563,-0.02260115,-0.04353028,1.414924,1.795419,0.1499673,-0.5765426,-0.1289131,42.46441,5.620115,17.47447,-0.3978021,-0.0816915,0.1720138,-0.9585801,2.034853,1.478384,0.4178815,-0.546068,-0.02590315,42.43764,340.1069,6.271673,
123.605,-0.2490867,-0.001072378,-0.07935925,0.3513168,2.495297,-0.4303582,0.2552876,0.02958086,-0.09488678,351.327,337.6499,358.3088,-0.1126634,0.02952903,-0.02624859,-0.06660544,1.49063,1.821265,0.1492435,-0.5767011,-0.1336474,41.98319,3.419954,17.05189,-0.3899995,-0.1005686,0.1461158,-1.190744,1.723047,1.455578,0.4144077,-0.5479388,-0.0234734,42.84241,337.6646,5.24812,
